SimTime,Day,TimeOfDay,NumVehicleGenerated,NumVehiclesActive,NumVehiclesWaiting,NumVehicleCompleted,AverageSpeed,VehicleDensity
0,1,0,203,196,7,0,3.1531,0.0019
1,1,1,206,206,0,0,3.5825,0.0020
2,1,2,208,208,0,0,3.8173,0.0021
3,1,3,211,211,0,0,3.9336,0.0021
4,1,4,214,214,0,0,3.9346,0.0021
5,1,5,216,216,0,0,3.9861,0.0021
6,1,6,219,219,0,0,4.0183,0.0022
7,1,7,221,221,0,0,4.0045,0.0022
8,1,8,223,223,0,0,3.9776,0.0022
9,1,9,225,225,0,0,3.9511,0.0022
10,1,10,227,227,0,0,3.9031,0.0023
11,1,11,229,229,0,0,3.9258,0.0023
12,1,12,231,231,0,0,3.9437,0.0023
13,1,13,233,233,0,0,3.8240,0.0023
14,1,14,235,235,0,0,3.7745,0.0023
15,1,15,237,237,0,0,3.7679,0.0024
16,1,16,240,240,0,0,3.7417,0.0024
17,1,17,242,242,0,0,3.7727,0.0024
18,1,18,244,244,0,0,3.6230,0.0024
19,1,19,247,247,0,0,3.6923,0.0025
20,1,20,249,249,0,0,3.6988,0.0025
21,1,21,251,251,0,0,3.7410,0.0025
22,1,22,254,254,0,0,3.7520,0.0025
23,1,23,256,256,0,0,3.7812,0.0025
24,1,24,258,258,0,0,3.7519,0.0026
25,1,25,261,261,0,0,3.7586,0.0026
26,1,26,263,263,0,0,3.7529,0.0026
27,1,27,266,266,0,0,3.8008,0.0026
28,1,28,269,269,0,0,3.7770,0.0027
29,1,29,271,271,0,0,3.7085,0.0027
30,1,30,273,273,0,0,3.7216,0.0027
31,1,31,276,276,0,0,3.6775,0.0027
32,1,32,278,278,0,0,3.6655,0.0028
33,1,33,280,280,0,0,3.6679,0.0028
34,1,34,282,282,0,0,3.6489,0.0028
35,1,35,285,285,0,0,3.6421,0.0028
36,1,36,287,287,0,0,3.6794,0.0029
37,1,37,289,289,0,0,3.6920,0.0029
38,1,38,291,291,0,0,3.7835,0.0029
39,1,39,293,293,0,0,3.8020,0.0029
40,1,40,296,296,0,0,3.7939,0.0029
41,1,41,298,298,0,0,3.7886,0.0030
42,1,42,300,300,0,0,3.8000,0.0030
43,1,43,302,302,0,0,3.7483,0.0030
44,1,44,304,303,0,1,3.7558,0.0030
45,1,45,306,304,0,2,3.7303,0.0030
46,1,46,308,305,0,3,3.7705,0.0030
47,1,47,311,309,0,3,3.7799,0.0031
48,1,48,314,311,0,4,3.7588,0.0031
49,1,49,316,314,0,4,3.7771,0.0031
50,1,50,318,316,0,4,3.7722,0.0031
51,1,51,320,318,0,4,3.7233,0.0032
52,1,52,322,320,0,4,3.7094,0.0032
53,1,53,324,322,0,4,3.6832,0.0032
54,1,54,326,324,0,4,3.7037,0.0032
55,1,55,328,326,0,4,3.6933,0.0032
56,1,56,330,328,0,4,3.7470,0.0033
57,1,57,332,329,0,5,3.7842,0.0033
58,1,58,334,330,0,6,3.8364,0.0033
59,1,59,336,333,0,6,3.8529,0.0033
60,1,60,338,335,0,6,3.8328,0.0033
61,1,61,340,337,0,6,3.8249,0.0034
62,1,62,343,340,0,6,3.7676,0.0034
63,1,63,345,342,0,6,3.8275,0.0034
64,1,64,348,344,0,7,3.8140,0.0034
65,1,65,350,347,0,7,3.8098,0.0035
66,1,66,353,350,0,7,3.7657,0.0035
67,1,67,355,352,0,7,3.7642,0.0035
68,1,68,357,354,0,7,3.8249,0.0035
69,1,69,359,356,0,7,3.8062,0.0035
70,1,70,361,357,0,8,3.7983,0.0036
71,1,71,363,360,0,8,3.8194,0.0036
72,1,72,365,361,0,9,3.8199,0.0036
73,1,73,367,363,0,10,3.7906,0.0036
74,1,74,369,366,0,10,3.8005,0.0036
75,1,75,371,368,0,10,3.8614,0.0037
76,1,76,373,369,0,11,3.8808,0.0037
77,1,77,376,373,0,11,3.8820,0.0037
78,1,78,379,375,0,12,3.9413,0.0037
79,1,79,382,379,0,12,3.9024,0.0038
80,1,80,384,381,0,12,3.9423,0.0038
81,1,81,386,383,0,12,3.9034,0.0038
82,1,82,388,385,0,12,3.9506,0.0038
83,1,83,391,388,0,12,3.9227,0.0039
84,1,84,394,391,0,12,3.9079,0.0039
85,1,85,395,392,0,12,3.9209,0.0039
86,1,86,397,394,0,12,3.9061,0.0039
87,1,87,399,396,0,12,3.8864,0.0039
88,1,88,402,399,0,12,3.8521,0.0040
89,1,89,404,401,0,12,3.8130,0.0040
90,1,90,407,403,0,13,3.8412,0.0040
91,1,91,410,406,0,13,3.7833,0.0040
92,1,92,413,409,0,13,3.8068,0.0041
93,1,93,416,412,0,13,3.7767,0.0041
94,1,94,418,414,0,13,3.7995,0.0041
95,1,95,421,417,0,13,3.8201,0.0041
96,1,96,422,418,0,13,3.7751,0.0042
97,1,97,425,421,0,13,3.7672,0.0042
98,1,98,427,422,0,14,3.8081,0.0042
99,1,99,429,425,0,14,3.8376,0.0042
100,1,100,432,427,0,15,3.8525,0.0042
101,1,101,435,431,0,15,3.8701,0.0043
102,1,102,438,433,0,16,3.8730,0.0043
103,1,103,440,436,0,16,3.8784,0.0043
104,1,104,443,438,0,17,3.8927,0.0044
105,1,105,446,440,0,18,3.8636,0.0044
106,1,106,448,443,0,18,3.8555,0.0044
107,1,107,450,445,0,18,3.8899,0.0044
108,1,108,452,447,0,18,3.9485,0.0044
109,1,109,454,448,0,19,3.9286,0.0045
110,1,110,457,451,0,20,3.8714,0.0045
111,1,111,459,454,0,20,3.8855,0.0045
112,1,112,461,456,0,20,3.8947,0.0045
113,1,113,464,458,0,21,3.9017,0.0046
114,1,114,466,461,0,21,3.9197,0.0046
115,1,115,468,463,0,21,3.9482,0.0046
116,1,116,470,465,0,21,3.9699,0.0046
117,1,117,473,468,0,21,3.9701,0.0047
118,1,118,476,470,0,22,3.9213,0.0047
119,1,119,479,474,0,22,3.9662,0.0047
120,1,120,481,475,0,23,3.9916,0.0047
121,1,121,483,478,0,23,4.0167,0.0048
122,1,122,485,478,0,25,4.0272,0.0048
123,1,123,488,481,0,25,4.0437,0.0048
124,1,124,490,483,0,25,4.0041,0.0048
125,1,125,492,485,0,25,4.0268,0.0048
126,1,126,495,488,0,25,4.0410,0.0049
127,1,127,498,491,0,25,4.0692,0.0049
128,1,128,501,493,0,26,4.0487,0.0049
129,1,129,503,496,0,26,4.0585,0.0049
130,1,130,506,499,0,26,4.0561,0.0050
131,1,131,509,501,0,27,4.0519,0.0050
132,1,132,511,502,0,28,4.0199,0.0050
133,1,133,514,506,0,28,3.9387,0.0050
134,1,134,516,507,0,29,3.9487,0.0050
135,1,135,519,509,0,30,3.9077,0.0051
136,1,136,521,511,0,30,3.8356,0.0051
137,1,137,523,513,0,30,3.8051,0.0051
138,1,138,525,515,0,30,3.8194,0.0051
139,1,139,527,517,0,30,3.8240,0.0051
140,1,140,529,519,0,30,3.8401,0.0052
141,1,141,532,522,0,30,3.8238,0.0052
142,1,142,535,524,0,31,3.8454,0.0052
143,1,143,538,525,0,33,3.8914,0.0052
144,1,144,540,527,0,34,3.9222,0.0052
145,1,145,542,530,0,34,3.9396,0.0053
146,1,146,544,531,0,35,3.9360,0.0053
147,1,147,546,532,0,36,3.9286,0.0053
148,1,148,548,533,0,37,3.9887,0.0053
149,1,149,550,535,0,38,4.0243,0.0053
150,1,150,553,538,0,38,4.0037,0.0054
151,1,151,556,540,0,39,3.9722,0.0054
152,1,152,558,543,0,39,3.9908,0.0054
153,1,153,560,545,0,39,3.9248,0.0054
154,1,154,562,547,0,39,3.9324,0.0054
155,1,155,564,549,0,39,3.8689,0.0055
156,1,156,566,550,0,40,3.8727,0.0055
157,1,157,568,551,0,41,3.8766,0.0055
158,1,158,570,552,0,42,3.9094,0.0055
159,1,159,572,554,0,42,3.9368,0.0055
160,1,160,575,557,0,42,3.8995,0.0055
161,1,161,578,559,0,43,3.8694,0.0056
162,1,162,580,560,0,44,3.8625,0.0056
163,1,163,583,563,0,45,3.8739,0.0056
164,1,164,585,566,0,45,3.8746,0.0056
165,1,165,588,568,0,46,3.8750,0.0057
166,1,166,590,571,0,46,3.8809,0.0057
167,1,167,593,574,0,46,3.8519,0.0057
168,1,168,596,576,0,47,3.8021,0.0057
169,1,169,598,578,0,47,3.8460,0.0057
170,1,170,600,579,0,48,3.8135,0.0058
171,1,171,602,581,0,49,3.7694,0.0058
172,1,172,604,583,0,50,3.8027,0.0058
173,1,173,607,587,0,50,3.8348,0.0058
174,1,174,610,589,0,51,3.8268,0.0059
175,1,175,613,592,0,51,3.8429,0.0059
176,1,176,616,594,0,52,3.8822,0.0059
177,1,177,618,596,0,52,3.8641,0.0059
178,1,178,620,597,0,53,3.8945,0.0059
179,1,179,623,601,0,53,3.8319,0.0060
180,1,180,626,604,0,53,3.8444,0.0060
181,1,181,629,607,0,53,3.9143,0.0060
182,1,182,631,609,0,53,3.9015,0.0061
183,1,183,633,609,0,55,3.9015,0.0061
184,1,184,636,612,0,56,3.9069,0.0061
185,1,185,639,615,0,56,3.8911,0.0061
186,1,186,642,616,0,58,3.8864,0.0061
187,1,187,644,618,0,60,3.8657,0.0061
188,1,188,646,621,0,60,3.8889,0.0062
189,1,189,649,622,0,62,3.8778,0.0062
190,1,190,652,626,0,62,3.8930,0.0062
191,1,191,655,629,0,62,3.9046,0.0063
192,1,192,657,630,0,63,3.9032,0.0063
193,1,193,660,631,0,65,3.8748,0.0063
194,1,194,662,632,0,66,3.8813,0.0063
195,1,195,665,635,0,67,3.8835,0.0063
196,1,196,667,637,0,67,3.9168,0.0063
197,1,197,669,637,0,69,3.8917,0.0063
198,1,198,671,639,0,70,3.9264,0.0064
199,1,199,674,642,0,70,3.9252,0.0064
200,1,200,677,645,0,70,3.9566,0.0064
201,1,201,679,646,0,71,3.9195,0.0064
202,1,202,681,649,0,71,3.9337,0.0065
203,1,203,683,650,0,72,3.9385,0.0065
204,1,204,684,652,0,72,3.9387,0.0065
205,1,205,686,654,0,72,3.9633,0.0065
206,1,206,689,656,0,73,3.9375,0.0065
207,1,207,691,658,0,73,3.9271,0.0065
208,1,208,694,661,0,73,3.9017,0.0066
209,1,209,696,661,0,75,3.8744,0.0066
210,1,210,698,663,0,75,3.8899,0.0066
211,1,211,700,664,0,76,3.8524,0.0066
212,1,212,702,666,0,77,3.9024,0.0066
213,1,213,705,669,0,77,3.8909,0.0067
214,1,214,707,670,0,78,3.8925,0.0067
215,1,215,710,673,0,78,3.9212,0.0067
216,1,216,713,676,0,78,3.8772,0.0067
217,1,217,715,678,0,78,3.8894,0.0067
218,1,218,717,680,0,78,3.8765,0.0068
219,1,219,719,680,0,80,3.8691,0.0068
220,1,220,722,681,0,82,3.8943,0.0068
221,1,221,724,684,0,82,3.8801,0.0068
222,1,222,727,685,0,84,3.8672,0.0068
223,1,223,730,688,0,85,3.8445,0.0068
224,1,224,733,690,0,86,3.8304,0.0069
225,1,225,736,693,0,86,3.8442,0.0069
226,1,226,738,695,0,86,3.8647,0.0069
227,1,227,740,695,0,88,3.8345,0.0069
228,1,228,742,697,0,88,3.8307,0.0069
229,1,229,744,698,0,89,3.8940,0.0069
230,1,230,746,698,0,92,3.9097,0.0069
231,1,231,748,699,0,93,3.8884,0.0070
232,1,232,750,701,0,94,3.8402,0.0070
233,1,233,752,703,0,95,3.8521,0.0070
234,1,234,754,705,0,96,3.8610,0.0070
235,1,235,757,708,0,96,3.8630,0.0070
236,1,236,760,708,0,99,3.8870,0.0070
237,1,237,763,711,0,99,3.8931,0.0071
238,1,238,765,713,0,99,3.8948,0.0071
239,1,239,767,713,0,101,3.9397,0.0071
240,1,240,769,717,0,101,3.9233,0.0071
241,1,241,771,719,0,101,3.9694,0.0072
242,1,242,773,721,0,101,3.9279,0.0072
243,1,243,775,721,0,103,3.8918,0.0072
244,1,244,778,726,0,103,3.8884,0.0072
245,1,245,781,727,0,105,3.8721,0.0072
246,1,246,783,730,0,105,3.8685,0.0073
247,1,247,785,730,0,107,3.8945,0.0073
248,1,248,788,733,0,108,3.8854,0.0073
249,1,249,790,735,0,108,3.9020,0.0073
250,1,250,792,736,0,109,3.8967,0.0073
251,1,251,794,737,0,110,3.8928,0.0073
252,1,252,796,738,0,111,3.8591,0.0073
253,1,253,799,741,0,111,3.8745,0.0074
254,1,254,801,741,0,113,3.8623,0.0074
255,1,255,804,744,0,115,3.8763,0.0074
256,1,256,806,745,0,117,3.9034,0.0074
257,1,257,808,744,0,120,3.8602,0.0074
258,1,258,811,747,0,121,3.9317,0.0074
259,1,259,813,749,0,121,3.8798,0.0075
260,1,260,815,749,0,123,3.8625,0.0075
261,1,261,818,754,0,123,3.8687,0.0075
262,1,262,820,756,0,123,3.8862,0.0075
263,1,263,823,757,0,125,3.8481,0.0075
264,1,264,826,759,0,127,3.8669,0.0076
265,1,265,829,763,0,128,3.8689,0.0076
266,1,266,831,764,0,130,3.8809,0.0076
267,1,267,833,767,0,130,3.8892,0.0076
268,1,268,836,769,0,131,3.8674,0.0076
269,1,269,838,771,0,131,3.8534,0.0077
270,1,270,840,772,0,132,3.8718,0.0077
271,1,271,843,776,0,132,3.8698,0.0077
272,1,272,845,777,0,133,3.8700,0.0077
273,1,273,847,779,0,134,3.8344,0.0077
274,1,274,849,781,0,134,3.8617,0.0078
275,1,275,852,783,0,135,3.8646,0.0078
276,1,276,855,784,0,137,3.8852,0.0078
277,1,277,857,783,0,140,3.9132,0.0078
278,1,278,858,784,0,140,3.8839,0.0078
279,1,279,860,785,0,141,3.8777,0.0078
280,1,280,862,787,0,141,3.8640,0.0078
281,1,281,864,789,0,141,3.8669,0.0078
282,1,282,866,789,0,143,3.8606,0.0078
283,1,283,868,789,0,145,3.8783,0.0078
284,1,284,870,791,0,145,3.8913,0.0079
285,1,285,872,793,0,145,3.9180,0.0079
286,1,286,874,794,0,146,3.9018,0.0079
287,1,287,876,797,0,146,3.9184,0.0079
288,1,288,879,800,0,146,3.8887,0.0080
289,1,289,881,802,0,146,3.9027,0.0080
290,1,290,883,802,0,148,3.8903,0.0080
291,1,291,885,805,0,148,3.8720,0.0080
292,1,292,887,805,0,150,3.8758,0.0080
293,1,293,889,808,0,150,3.8899,0.0080
294,1,294,891,808,0,152,3.8948,0.0080
295,1,295,894,809,0,154,3.8838,0.0080
296,1,296,896,811,0,155,3.8705,0.0081
297,1,297,899,813,0,157,3.8795,0.0081
298,1,298,902,816,0,159,3.8640,0.0081
299,1,299,904,812,0,165,3.9015,0.0081
300,1,300,906,817,0,166,3.9155,0.0081
301,1,301,909,821,0,166,3.9123,0.0082
302,1,302,911,822,0,167,3.9258,0.0082
303,1,303,913,825,0,167,3.9588,0.0082
304,1,304,916,827,0,168,3.9710,0.0082
305,1,305,918,828,0,169,3.9964,0.0082
306,1,306,920,827,0,172,3.9794,0.0082
307,1,307,922,831,0,172,3.9687,0.0083
308,1,308,925,832,0,174,3.9195,0.0083
309,1,309,927,833,0,177,3.9028,0.0083
310,1,310,930,837,0,177,3.9152,0.0083
311,1,311,932,838,0,178,3.9129,0.0083
312,1,312,934,839,0,179,3.9356,0.0083
313,1,313,937,841,0,180,3.9370,0.0084
314,1,314,940,842,0,182,3.9228,0.0084
315,1,315,942,844,0,183,3.8981,0.0084
316,1,316,944,844,0,185,3.9230,0.0084
317,1,317,947,846,0,186,3.8676,0.0084
318,1,318,949,847,0,188,3.8548,0.0084
319,1,319,951,848,0,190,3.8726,0.0084
320,1,320,954,851,0,192,3.9025,0.0085
321,1,321,956,853,0,193,3.8816,0.0085
322,1,322,958,851,0,197,3.9377,0.0085
323,1,323,961,853,0,200,3.8851,0.0085
324,1,324,963,854,0,203,3.9333,0.0085
325,1,325,965,855,0,205,3.9193,0.0085
326,1,326,968,859,0,205,3.8917,0.0085
327,1,327,971,859,0,208,3.8533,0.0085
328,1,328,973,862,0,208,3.8817,0.0086
329,1,329,975,862,0,210,3.8747,0.0086
330,1,330,977,863,0,213,3.8725,0.0086
331,1,331,979,864,0,214,3.8762,0.0086
332,1,332,981,864,0,216,3.8993,0.0086
333,1,333,984,868,0,216,3.8491,0.0086
334,1,334,986,870,0,216,3.8874,0.0087
335,1,335,987,865,0,222,3.8705,0.0086
336,1,336,990,866,0,225,3.8326,0.0086
337,1,337,993,871,0,225,3.8427,0.0087
338,1,338,995,873,0,225,3.8431,0.0087
339,1,339,998,873,0,228,3.8717,0.0087
340,1,340,1000,875,0,229,3.8229,0.0087
341,1,341,1002,878,0,229,3.8360,0.0087
342,1,342,1004,878,0,231,3.7950,0.0087
343,1,343,1007,881,0,232,3.8354,0.0088
344,1,344,1010,881,0,235,3.8127,0.0088
345,1,345,1012,884,0,236,3.8326,0.0088
346,1,346,1014,883,0,239,3.8347,0.0088
347,1,347,1016,884,0,240,3.8643,0.0088
348,1,348,1019,884,0,243,3.8676,0.0088
349,1,349,1022,885,0,245,3.8554,0.0088
350,1,350,1024,887,0,246,3.8658,0.0088
351,1,351,1026,887,0,248,3.8760,0.0088
352,1,352,1028,885,0,253,3.9073,0.0088
353,1,353,1030,889,0,253,3.9033,0.0088
354,1,354,1033,886,0,259,3.8837,0.0088
355,1,355,1035,889,0,259,3.8661,0.0088
356,1,356,1037,889,0,261,3.8526,0.0088
357,1,357,1039,892,0,261,3.8117,0.0089
358,1,358,1041,889,0,266,3.8414,0.0088
359,1,359,1044,893,0,267,3.8231,0.0089
360,1,360,1046,894,0,268,3.8210,0.0089
361,1,361,1049,893,0,272,3.8320,0.0089
362,1,362,1051,895,0,274,3.8369,0.0089
363,1,363,1053,895,0,276,3.8547,0.0089
364,1,364,1055,897,0,277,3.8384,0.0089
365,1,365,1058,900,0,277,3.8767,0.0090
366,1,366,1060,898,0,281,3.8497,0.0089
367,1,367,1062,901,0,281,3.8701,0.0090
368,1,368,1064,900,0,284,3.8889,0.0090
369,1,369,1066,900,0,286,3.9000,0.0090
370,1,370,1068,900,0,288,3.9067,0.0090
371,1,371,1070,903,0,289,3.9225,0.0090
372,1,372,1072,904,0,290,3.9027,0.0090
373,1,373,1075,905,0,292,3.9094,0.0090
374,1,374,1077,904,0,295,3.9159,0.0090
375,1,375,1080,907,0,296,3.9063,0.0090
376,1,376,1082,907,0,298,3.9096,0.0090
377,1,377,1085,907,0,301,3.9107,0.0090
378,1,378,1087,908,0,302,3.8965,0.0090
379,1,379,1089,910,0,303,3.8637,0.0091
380,1,380,1091,911,0,304,3.8880,0.0091
381,1,381,1094,912,0,307,3.8816,0.0091
382,1,382,1096,914,0,309,3.9015,0.0091
383,1,383,1098,916,0,311,3.8908,0.0091
384,1,384,1099,917,0,311,3.9073,0.0091
385,1,385,1101,918,0,312,3.9216,0.0091
386,1,386,1103,919,0,313,3.9151,0.0091
387,1,387,1106,920,0,315,3.9054,0.0092
388,1,388,1108,922,0,317,3.8991,0.0092
389,1,389,1110,921,0,320,3.8893,0.0092
390,1,390,1112,923,0,320,3.8429,0.0092
391,1,391,1115,923,0,323,3.8537,0.0092
392,1,392,1118,921,0,329,3.8610,0.0092
393,1,393,1120,923,0,331,3.8732,0.0092
394,1,394,1122,924,0,333,3.8885,0.0092
395,1,395,1123,923,0,335,3.8559,0.0092
396,1,396,1125,923,0,337,3.8613,0.0092
397,1,397,1127,923,0,339,3.8299,0.0092
398,1,398,1129,926,0,339,3.8564,0.0092
399,1,399,1131,926,0,341,3.8585,0.0092
400,1,400,1133,927,0,342,3.8684,0.0092
401,1,401,1135,925,0,346,3.8681,0.0092
402,1,402,1137,928,0,346,3.8664,0.0092
403,1,403,1139,928,0,348,3.8394,0.0092
404,1,404,1141,929,0,350,3.8299,0.0092
405,1,405,1143,928,0,353,3.8394,0.0092
406,1,406,1145,931,0,353,3.8528,0.0093
407,1,407,1148,933,0,354,3.8296,0.0093
408,1,408,1150,934,0,355,3.8169,0.0093
409,1,409,1152,933,0,358,3.8371,0.0093
410,1,410,1154,934,0,360,3.8340,0.0093
411,1,411,1156,936,0,361,3.8205,0.0093
412,1,412,1158,938,0,362,3.8241,0.0093
413,1,413,1161,941,0,363,3.8045,0.0094
414,1,414,1163,943,0,364,3.8028,0.0094
