init_node,term_node
1,1000290
1000290,290
1,1000307
1000307,307
1,1000316
1000316,316
2,2000302
2000302,302
2,2000304
2000304,304
3,3000301
3000301,301
3,3000306
3000306,306
4,4000301
4000301,301
4,4000306
4000306,306
5,5000298
5000298,298
5,5000299
5000299,299
5,5000310
5000310,310
6,6000424
6000424,424
6,6000425
6000425,425
6,6000456
6000456,456
7,7000274
7000274,274
7,7000281
7000281,281
7,7000283
7000283,283
8,8000272
8000272,272
8,8000456
8000456,456
8,8000474
8000474,474
8,8000480
8000480,480
9,9000277
9000277,277
10,10000205
10000205,205
10,10000206
10000206,206
10,10000214
10000214,214
11,11000206
11000206,206
11,11000207
11000207,207
12,12000210
12000210,210
12,12000217
12000217,217
12,12000222
12000222,222
13,13000208
13000208,208
13,13000211
13000211,211
13,13000224
13000224,224
14,14000244
14000244,244
15,15000228
15000228,228
15,15000533
15000533,533
15,15000538
15000538,538
16,16000601
16000601,601
16,16000602
16000602,602
17,17000597
17000597,597
17,17000608
17000608,608
17,17000621
17000621,621
18,18000914
18000914,914
18,18000937
18000937,937
18,18000938
18000938,938
18,18000946
18000946,946
19,19000617
19000617,617
19,19000919
19000919,919
19,19000931
19000931,931
20,20000916
20000916,916
21,21000915
21000915,915
21,21000943
21000943,943
22,22000831
22000831,831
23,23000823
23000823,823
23,23000835
23000835,835
23,23000836
23000836,836
23,23000839
23000839,839
24,24000827
24000827,827
24,24000838
24000838,838
24,24000855
24000855,855
25,25000821
25000821,821
25,25000841
25000841,841
25,25000849
25000849,849
26,26000322
26000322,322
26,26000844
26000844,844
26,26000851
26000851,851
27,27000317
27000317,317
27,27000333
27000333,333
27,27000824
27000824,824
27,27000832
27000832,832
28,28000328
28000328,328
28,28000339
28000339,339
28,28000825
28000825,825
29,29000325
29000325,325
29,29000331
29000331,331
30,30000286
30000286,286
30,30000340
30000340,340
31,31000366
31000366,366
31,31000405
31000405,405
31,31000448
31000448,448
31,31000779
31000779,779
32,32000287
32000287,287
32,32000347
32000347,347
32,32000355
32000355,355
32,32000356
32000356,356
33,33000255
33000255,255
33,33000858
33000858,858
33,33000961
33000961,961
33,33000963
33000963,963
34,34000870
34000870,870
34,34000962
34000962,962
34,34000964
34000964,964
34,34000967
34000967,967
35,35000758
35000758,758
35,35000760
35000760,760
35,35000869
35000869,869
35,35000966
35000966,966
36,36000763
36000763,763
36,36000764
36000764,764
36,36000767
36000767,767
36,36000788
36000788,788
36,36000796
36000796,796
37,37000349
37000349,349
37,37000393
37000393,393
37,37000458
37000458,458
37,37000459
37000459,459
37,37000803
37000803,803
38,38000255
38000255,255
38,38000262
38000262,262
38,38000267
38000267,267
39,39000254
39000254,254
39,39000873
39000873,873
39,39000880
39000880,880
39,39000881
39000881,881
40,40000633
40000633,633
40,40000883
40000883,883
41,41000761
41000761,761
41,41000866
41000866,866
41,41000875
41000875,875
41,41000885
41000885,885
42,42000666
42000666,666
42,42000676
42000676,676
42,42000679
42000679,679
42,42000687
42000687,687
43,43000668
43000668,668
43,43000688
43000688,688
43,43000689
43000689,689
43,43000696
43000696,696
43,43000722
43000722,722
44,44000450
44000450,450
44,44000455
44000455,455
44,44000473
44000473,473
44,44000503
44000503,503
45,45000522
45000522,522
45,45000530
45000530,530
45,45000551
45000551,551
45,45000555
45000555,555
46,46000262
46000262,262
46,46000263
46000263,263
47,47000264
47000264,264
47,47000887
47000887,887
48,48000261
48000261,261
48,48000890
48000890,890
49,49000625
49000625,625
49,49000646
49000646,646
50,50000623
50000623,623
50,50000652
50000652,652
50,50000700
50000700,700
51,51000655
51000655,655
51,51000702
51000702,702
51,51000706
51000706,706
51,51000710
51000710,710
52,52000640
52000640,640
52,52000659
52000659,659
52,52000699
52000699,699
52,52000714
52000714,714
53,53000525
53000525,525
53,53000585
53000585,585
53,53000664
53000664,664
54,54000979
54000979,979
55,55000251
55000251,251
55,55000891
55000891,891
55,55000979
55000979,979
56,56000889
56000889,889
57,57000889
57000889,889
57,57000992
57000992,992
57,570001003
570001003,1003
58,58000627
58000627,627
58,58000888
58000888,888
59,59000889
59000889,889
59,59000986
59000986,986
60,60000893
60000893,893
60,60000896
60000896,896
60,60000900
60000900,900
61,61000624
61000624,624
61,61000630
61000630,630
61,61000642
61000642,642
62,62000629
62000629,629
62,62000637
62000637,637
62,62000653
62000653,653
63,63000902
63000902,902
63,63000908
63000908,908
63,63000947
63000947,947
64,64000632
64000632,632
64,64000923
64000923,923
64,64000925
64000925,925
65,65000921
65000921,921
65,65000926
65000926,926
65,65000936
65000936,936
66,66000998
66000998,998
67,67000994
67000994,994
67,67000995
67000995,995
67,67000996
67000996,996
68,68000986
68000986,986
68,680001002
680001002,1002
68,680001003
680001003,1003
69,69000982
69000982,982
69,69000985
69000985,985
70,70000904
70000904,904
70,70000959
70000959,959
70,70000960
70000960,960
70,70000983
70000983,983
71,71000949
71000949,949
71,71000958
71000958,958
71,71000985
71000985,985
72,72000951
72000951,951
72,72000957
72000957,957
73,73000928
73000928,928
73,73000940
73000940,940
74,74000313
74000313,313
74,74000322
74000322,322
74,74000842
74000842,842
74,74000321
74000321,321
74,740001020
740001020,1020
75,75000848
75000848,848
75,75000849
75000849,849
76,76000304
76000304,304
76,76000849
76000849,849
76,76000322
76000322,322
77,77000849
77000849,849
77,77000322
77000322,322
78,78000848
78000848,848
78,78000839
78000839,839
79,79000304
79000304,304
79,79000313
79000313,313
80,80000304
80000304,304
80,80000313
80000313,313
81,81000848
81000848,848
81,81000322
81000322,322
81,81000247
81000247,247
82,82000848
82000848,848
82,82000247
82000247,247
82,82000322
82000322,322
83,83000848
83000848,848
83,83000247
83000247,247
83,83000322
83000322,322
84,84000313
84000313,313
85,85000304
85000304,304
85,85000849
85000849,849
85,85000322
85000322,322
85,85000313
85000313,313
86,86000849
86000849,849
86,86000322
86000322,322
86,86000313
86000313,313
87,87000322
87000322,322
87,87000849
87000849,849
88,88000322
88000322,322
88,88000313
88000313,313
89,89000313
89000313,313
90,90000304
90000304,304
90,90000322
90000322,322
90,90000321
90000321,321
90,90000313
90000313,313
91,910001010
910001010,1010
91,91000954
91000954,954
91,910001005
910001005,1005
92,920001006
920001006,1006
92,920001005
920001005,1005
93,930001006
930001006,1006
93,930001005
930001005,1005
94,94000263
94000263,263
94,94000999
94000999,999
95,95000988
95000988,988
96,960001005
960001005,1005
96,960001006
960001006,1006
97,97000999
97000999,999
98,980001009
980001009,1009
99,990001006
990001006,1006
99,990001005
990001005,1005
100,1000001006
1000001006,1006
100,1000001007
1000001007,1007
101,101000263
101000263,263
102,1020001009
1020001009,1009
103,103000849
103000849,849
104,104000849
104000849,849
105,105000313
105000313,313
106,106000849
106000849,849
107,107000849
107000849,849
107,107000313
107000313,313
108,108000849
108000849,849
109,109000849
109000849,849
110,110000999
110000999,999
201,201000456
201000456,456
202,202000204
202000204,204
203,203000456
203000456,456
204,204000203
204000203,203
205,205000206
205000206,206
205,205000214
205000214,214
205,205000215
205000215,215
205,20500010
20500010,10
206,206000213
206000213,213
206,20600010
20600010,10
206,20600011
20600011,11
206,206000486
206000486,486
207,207000201
207000201,201
207,207000209
207000209,209
207,207000215
207000215,215
207,20700011
20700011,11
208,208000209
208000209,209
208,208000211
208000211,211
208,208000273
208000273,273
208,208000277
208000277,277
208,20800013
20800013,13
209,209000207
209000207,207
209,209000208
209000208,208
210,210000211
210000211,211
210,210000212
210000212,212
210,21000012
21000012,12
210,210000469
210000469,469
211,211000208
211000208,208
211,211000210
211000210,210
211,211000233
211000233,233
211,211000237
211000237,237
211,21100013
21100013,13
212,212000209
212000209,209
213,213000214
213000214,214
213,213000454
213000454,454
214,214000205
214000205,205
214,21400010
21400010,10
214,214000468
214000468,468
214,214000475
214000475,475
215,215000205
215000205,205
215,215000207
215000207,207
216,216000217
216000217,217
216,216000221
216000221,221
216,216000224
216000224,224
217,217000216
217000216,216
217,217000220
217000220,220
217,217000222
217000222,222
217,217000223
217000223,223
217,21700012
21700012,12
218,218000210
218000210,210
219,219000222
219000222,222
219,219000223
219000223,223
220,220000221
220000221,221
221,221000218
221000218,218
221,221000230
221000230,230
222,222000217
222000217,217
222,222000225
222000225,225
222,22200012
22200012,12
223,223000217
223000217,217
223,223000220
223000220,220
224,224000216
224000216,216
224,224000228
224000228,228
224,224000230
224000230,230
224,22400013
22400013,13
225,225000222
225000222,222
225,225000228
225000228,228
225,225000234
225000234,234
226,226000235
226000235,235
226,226000238
226000238,238
226,226000539
226000539,539
227,227000229
227000229,229
227,227000236
227000236,236
227,227000603
227000603,603
228,228000225
228000225,225
228,228000227
228000227,227
228,228000235
228000235,235
228,22800015
22800015,15
229,229000227
229000227,227
229,229000232
229000232,232
229,229000597
229000597,597
230,230000224
230000224,224
230,230000231
230000231,231
231,231000230
231000230,230
231,231000237
231000237,237
232,232000229
232000229,229
232,232000231
232000231,231
232,232000233
232000233,233
233,233000211
233000211,211
233,233000232
233000232,232
233,233000243
233000243,243
234,234000533
234000533,533
235,235000226
235000226,226
235,235000228
235000228,228
235,235000236
235000236,236
236,236000226
236000226,226
236,236000227
236000227,227
236,236000602
236000602,602
237,237000211
237000211,211
237,237000231
237000231,231
237,237000233
237000233,233
238,238000234
238000234,234
238,238000235
238000235,235
238,238000242
238000242,242
239,239000240
239000240,240
239,239000576
239000576,576
240,240000241
240000241,241
240,240000242
240000242,242
241,241000538
241000538,538
241,241000574
241000574,574
242,242000238
242000238,238
242,242000239
242000239,239
242,242000240
242000240,240
242,242000533
242000533,533
243,243000232
243000232,232
243,243000244
243000244,244
244,244000243
244000243,243
244,244000245
244000245,245
244,244000246
244000246,246
244,24400014
24400014,14
245,245000244
245000244,244
246,246000244
246000244,244
247,24700081
24700081,81
247,24700082
24700082,82
247,24700083
24700083,83
247,247000248
247000248,248
248,248000247
248000247,247
248,248000249
248000249,249
248,2480001009
2480001009,1009
249,249000248
249000248,248
249,249000831
249000831,831
250,250000255
250000255,255
250,250000853
250000853,853
250,2500001009
2500001009,1009
251,251000268
251000268,268
251,251000891
251000891,891
251,25100055
25100055,55
252,252000257
252000257,257
252,252000263
252000263,263
252,252000268
252000268,268
253,253000255
253000255,255
253,253000262
253000262,262
253,253000266
253000266,266
254,254000256
254000256,256
254,254000267
254000267,267
254,254000887
254000887,887
254,25400039
25400039,39
255,255000250
255000250,250
255,255000253
255000253,253
255,255000881
255000881,881
255,25500033
25500033,33
255,25500038
25500038,38
256,256000254
256000254,254
256,256000264
256000264,264
256,256000266
256000266,266
257,257000252
257000252,252
257,257000269
257000269,269
257,257000979
257000979,979
258,258000259
258000259,259
258,258000887
258000887,887
259,259000258
259000258,258
259,259000260
259000260,260
259,259000265
259000265,265
259,2590001019
2590001019,1019
260,260000259
260000259,259
260,260000646
260000646,646
260,260000898
260000898,898
261,261000887
261000887,887
261,26100048
26100048,48
262,262000253
262000253,253
262,262000263
262000263,263
262,26200038
26200038,38
262,26200046
26200046,46
263,26300094
26300094,94
263,263000101
263000101,101
263,263000252
263000252,252
263,263000262
263000262,262
263,26300046
26300046,46
263,263000979
263000979,979
264,264000256
264000256,256
264,264000265
264000265,265
264,264000891
264000891,891
264,26400047
26400047,47
265,265000258
265000258,258
265,265000259
265000259,259
265,265000264
265000264,264
266,266000255
266000255,255
266,266000256
266000256,256
267,267000254
267000254,254
267,267000871
267000871,871
267,267000879
267000879,879
267,26700038
26700038,38
268,268000251
268000251,251
268,268000252
268000252,252
268,268000269
268000269,269
269,269000257
269000257,257
269,269000268
269000268,268
269,269000889
269000889,889
270,270000271
270000271,271
270,270000288
270000288,288
270,270000299
270000299,299
271,271000290
271000290,290
271,271000327
271000327,327
272,272000202
272000202,202
272,2720008
2720008,8
272,272000281
272000281,281
272,272000285
272000285,285
273,273000208
273000208,208
273,273000277
273000277,277
273,273000278
273000278,278
274,2740007
2740007,7
274,274000280
274000280,280
274,274000282
274000282,282
274,274000360
274000360,360
274,274000433
274000433,433
275,275000284
275000284,284
275,275000295
275000295,295
276,276000290
276000290,290
276,276000314
276000314,314
277,277000273
277000273,273
277,277000285
277000285,285
277,2770009
2770009,9
278,278000273
278000273,273
278,278000292
278000292,292
278,278000310
278000310,310
279,279000282
279000282,282
279,279000288
279000288,288
279,279000428
279000428,428
280,280000274
280000274,274
280,280000283
280000283,283
281,281000202
281000202,202
281,2810007
2810007,7
281,281000272
281000272,272
281,281000284
281000284,284
282,282000274
282000274,274
282,282000279
282000279,279
282,282000298
282000298,298
282,282000360
282000360,360
283,2830007
2830007,7
283,283000280
283000280,280
283,283000284
283000284,284
283,283000437
283000437,437
284,284000281
284000281,281
284,284000283
284000283,283
285,285000272
285000272,272
285,285000277
285000277,277
286,286000270
286000270,270
286,286000326
286000326,326
286,28600030
28600030,30
287,287000286
287000286,286
287,287000354
287000354,354
287,28700032
28700032,32
288,288000279
288000279,279
288,288000287
288000287,287
289,289000270
289000270,270
289,289000354
289000354,354
290,2900001
2900001,1
290,290000276
290000276,276
290,290000289
290000289,289
291,291000292
291000292,292
291,291000296
291000296,296
292,292000291
292000291,291
292,292000293
292000293,293
