T,TTI
0,7.307769641828158e-06
1,7.228246914654247e-06
2,7.228246914654247e-06
3,7.228246914654247e-06
4,7.148724187480336e-06
5,7.029440096719471e-06
6,7.029440096719471e-06
7,7.029440096719471e-06
8,7.029440096719471e-06
9,7.029440096719471e-06
10,7.029440096719471e-06
11,7.029440096719471e-06
12,7.029440096719471e-06
13,7.029440096719471e-06
14,7.029440096719471e-06
15,7.029440096719471e-06
16,7.029440096719471e-06
17,7.029440096719471e-06
18,7.029440096719471e-06
19,7.029440096719471e-06
20,7.029440096719471e-06
21,7.029440096719471e-06
22,7.029440096719471e-06
23,7.029440096719471e-06
24,7.029440096719471e-06
25,7.029440096719471e-06
26,7.029440096719471e-06
27,7.029440096719471e-06
28,7.029440096719471e-06
29,7.029440096719471e-06
30,7.029440096719471e-06
31,7.029440096719471e-06
32,7.029440096719471e-06
33,7.029440096719471e-06
34,7.029440096719471e-06
35,7.029440096719471e-06
36,7.029440096719471e-06
37,7.029440096719471e-06
38,7.029440096719471e-06
39,7.029440096719471e-06
40,7.029440096719471e-06
41,7.029440096719471e-06
42,7.029440096719471e-06
43,7.029440096719471e-06
44,7.029440096719471e-06
45,7.029440096719471e-06
46,7.029440096719471e-06
47,7.029440096719471e-06
48,7.029440096719471e-06
49,7.029440096719471e-06
50,7.029440096719471e-06
51,7.029440096719471e-06
52,7.029440096719471e-06
53,7.029440096719471e-06
54,7.029440096719471e-06
55,7.029440096719471e-06
56,7.029440096719471e-06
57,7.029440096719471e-06
58,7.029440096719471e-06
59,7.029440096719471e-06
60,7.029440096719471e-06
61,7.029440096719471e-06
62,7.029440096719471e-06
63,6.910156005958607e-06
64,6.8306332787846965e-06
65,6.8306332787846965e-06
66,6.8306332787846965e-06
67,6.8306332787846965e-06
68,6.8306332787846965e-06
69,6.8306332787846965e-06
70,6.8306332787846965e-06
71,6.8306332787846965e-06
72,6.8306332787846965e-06
73,6.8306332787846965e-06
74,6.8306332787846965e-06
75,6.8306332787846965e-06
76,6.8306332787846965e-06
77,6.8306332787846965e-06
78,6.8306332787846965e-06
79,6.8306332787846965e-06
80,6.8306332787846965e-06
81,6.8306332787846965e-06
82,6.8306332787846965e-06
83,6.8306332787846965e-06
84,6.8306332787846965e-06
85,6.8306332787846965e-06
86,6.8306332787846965e-06
87,6.8306332787846965e-06
88,6.8306332787846965e-06
89,6.8306332787846965e-06
90,6.8306332787846965e-06
91,6.8306332787846965e-06
92,6.8306332787846965e-06
93,6.8306332787846965e-06
94,6.8306332787846965e-06
95,6.8306332787846965e-06
96,6.8306332787846965e-06
97,6.8306332787846965e-06
98,6.8306332787846965e-06
99,6.8306332787846965e-06
100,6.8306332787846965e-06
101,6.8306332787846965e-06
102,6.8306332787846965e-06
103,6.8306332787846965e-06
104,6.8306332787846965e-06
105,6.8306332787846965e-06
106,6.8306332787846965e-06
107,6.8306332787846965e-06
108,6.8306332787846965e-06
109,6.8306332787846965e-06
110,6.8306332787846965e-06
111,6.8306332787846965e-06
112,6.8306332787846965e-06
113,6.8306332787846965e-06
114,6.8306332787846965e-06
115,6.8306332787846965e-06
116,6.8306332787846965e-06
117,6.8306332787846965e-06
118,6.8306332787846965e-06
119,6.8306332787846965e-06
120,6.8306332787846965e-06
121,6.8306332787846965e-06
122,6.7511105516107864e-06
123,6.631826460849926e-06
124,6.631826460849926e-06
125,6.631826460849926e-06
126,6.631826460849926e-06
127,6.631826460849926e-06
128,6.631826460849926e-06
129,6.631826460849926e-06
130,6.631826460849926e-06
131,6.631826460849926e-06
132,6.631826460849926e-06
133,6.631826460849926e-06
134,6.631826460849926e-06
135,6.631826460849926e-06
136,6.631826460849926e-06
137,6.631826460849926e-06
138,6.631826460849926e-06
139,6.631826460849926e-06
140,6.631826460849926e-06
141,6.631826460849926e-06
142,6.631826460849926e-06
143,6.631826460849926e-06
144,6.631826460849926e-06
145,6.631826460849926e-06
146,6.631826460849926e-06
147,6.631826460849926e-06
148,6.631826460849926e-06
149,6.631826460849926e-06
150,6.631826460849926e-06
151,6.631826460849926e-06
152,6.631826460849926e-06
153,6.631826460849926e-06
154,6.631826460849926e-06
155,6.631826460849926e-06
156,6.631826460849926e-06
157,6.631826460849926e-06
158,6.631826460849926e-06
159,6.631826460849926e-06
160,6.631826460849926e-06
161,6.631826460849926e-06
162,6.631826460849926e-06
163,6.631826460849926e-06
164,6.631826460849926e-06
165,6.631826460849926e-06
166,6.631826460849926e-06
167,6.631826460849926e-06
168,6.631826460849926e-06
169,6.631826460849926e-06
170,6.631826460849926e-06
171,6.631826460849926e-06
172,6.631826460849926e-06
173,6.631826460849926e-06
174,6.631826460849926e-06
175,6.631826460849926e-06
176,6.631826460849926e-06
177,6.631826460849926e-06
178,6.631826460849926e-06
179,6.631826460849926e-06
180,6.512542370089066e-06
181,6.4727810065021084e-06
182,6.4727810065021084e-06
183,6.4727810065021084e-06
184,6.4727810065021084e-06
185,6.4727810065021084e-06
186,6.4727810065021084e-06
187,6.4727810065021084e-06
188,6.4727810065021084e-06
189,6.4727810065021084e-06
190,6.4727810065021084e-06
191,6.4727810065021084e-06
192,6.4727810065021084e-06
193,6.4727810065021084e-06
194,6.4727810065021084e-06
195,6.4727810065021084e-06
196,6.4727810065021084e-06
197,6.4727810065021084e-06
198,6.4727810065021084e-06
199,6.4727810065021084e-06
200,6.4727810065021084e-06
201,6.4727810065021084e-06
202,6.4727810065021084e-06
203,6.4727810065021084e-06
204,6.4727810065021084e-06
205,6.4727810065021084e-06
206,6.4727810065021084e-06
207,6.4727810065021084e-06
208,6.4727810065021084e-06
209,6.4727810065021084e-06
210,6.433019642915151e-06
211,6.313735552154287e-06
212,6.313735552154287e-06
213,6.313735552154287e-06
214,6.313735552154287e-06
215,6.313735552154287e-06
216,6.313735552154287e-06
217,6.313735552154287e-06
218,6.313735552154287e-06
219,6.313735552154287e-06
220,6.313735552154287e-06
221,6.313735552154287e-06
222,6.313735552154287e-06
223,6.313735552154287e-06
224,6.313735552154287e-06
225,6.313735552154287e-06
226,6.313735552154287e-06
227,6.313735552154287e-06
228,6.313735552154287e-06
229,6.313735552154287e-06
230,6.313735552154287e-06
231,6.313735552154287e-06
232,6.313735552154287e-06
233,6.313735552154287e-06
234,6.313735552154287e-06
235,6.313735552154287e-06
236,6.313735552154287e-06
237,6.313735552154287e-06
238,6.313735552154287e-06
239,6.313735552154287e-06
240,6.313735552154287e-06
241,6.313735552154287e-06
242,6.313735552154287e-06
243,6.313735552154287e-06
244,6.313735552154287e-06
245,6.313735552154287e-06
246,6.313735552154287e-06
247,6.313735552154287e-06
248,6.313735552154287e-06
249,6.313735552154287e-06
250,6.313735552154287e-06
251,6.313735552154287e-06
252,6.313735552154287e-06
253,6.313735552154287e-06
254,6.313735552154287e-06
255,6.313735552154287e-06
256,6.313735552154287e-06
257,6.313735552154287e-06
258,6.313735552154287e-06
259,6.313735552154287e-06
260,6.313735552154287e-06
261,6.313735552154287e-06
262,6.313735552154287e-06
263,6.313735552154287e-06
264,6.313735552154287e-06
265,6.313735552154287e-06
