T,Smoothed_Pro
0,3.92335724097332e-06
1,3.922849970724385e-06
2,3.92234270047545e-06
3,3.9218354302265155e-06
4,3.9213281599775804e-06
5,3.920820889728645e-06
6,3.920313619479711e-06
7,3.919806349230776e-06
8,3.919299078981841e-06
9,3.918791808732907e-06
10,3.918284538483972e-06
11,3.9177772682350365e-06
12,3.917269997986102e-06
13,3.916762727737167e-06
14,3.916255457488232e-06
15,3.915748187239298e-06
16,3.915240916990363e-06
17,3.914733646741428e-06
18,3.9142263764924934e-06
19,3.913719106243558e-06
20,3.913211835994623e-06
21,3.912704565745689e-06
22,3.912197295496754e-06
23,3.911690025247819e-06
24,3.911182754998885e-06
25,3.9106754847499495e-06
26,3.9101682145010144e-06
27,3.90966094425208e-06
28,3.909153674003145e-06
29,3.90864640375421e-06
30,3.908139133505276e-06
31,3.907631863256341e-06
32,3.907124593007406e-06
33,3.906617322758471e-06
34,3.906110052509536e-06
35,3.905602782260601e-06
36,3.905095512011667e-06
37,3.904588241762732e-06
38,3.904080971513797e-06
39,3.9035737012648625e-06
40,3.9030664310159274e-06
41,3.902559160766992e-06
42,3.902051890518058e-06
43,3.901544620269123e-06
44,3.901037350020188e-06
45,3.900530079771254e-06
46,3.900022809522319e-06
47,3.8995155392733835e-06
48,3.899008269024449e-06
49,3.898500998775514e-06
50,3.897993728526579e-06
51,3.897486458277645e-06
52,3.89697918802871e-06
53,3.896471917779775e-06
54,3.8959646475308404e-06
55,3.895457377281905e-06
56,3.89495010703297e-06
57,3.894442836784036e-06
58,3.893935566535101e-06
59,3.893428296286166e-06
60,3.892921026037231e-06
61,3.8924137557882965e-06
62,3.8919064855393614e-06
63,3.891399215290426e-06
64,3.890891945041492e-06
65,3.890384674792557e-06
66,3.889877404543622e-06
67,3.889370134294688e-06
68,3.888862864045753e-06
69,3.8883555937968175e-06
70,3.887848323547883e-06
71,3.887341053298948e-06
72,3.886833783050013e-06
73,3.886326512801079e-06
74,3.885819242552144e-06
75,3.885311972303209e-06
76,3.8848047020542744e-06
77,3.884297431805339e-06
78,3.883790161556404e-06
79,3.88328289130747e-06
80,3.882775621058535e-06
81,3.8822683508096e-06
82,3.881761080560666e-06
83,3.8812538103117305e-06
84,3.8807465400627954e-06
85,3.880239269813861e-06
86,3.879731999564926e-06
87,3.879224729315991e-06
88,3.878717459067057e-06
89,3.878210188818122e-06
90,3.877702918569187e-06
91,3.877195648320252e-06
92,3.876688378071317e-06
93,3.876181107822382e-06
94,3.875673837573448e-06
95,3.875166567324513e-06
96,3.874659297075578e-06
97,3.8741520268266435e-06
98,3.8736447565777084e-06
99,3.873137486328773e-06
100,3.872630216079839e-06
101,3.872122945830904e-06
102,3.871615675581969e-06
103,3.871108405333035e-06
104,3.8706011350841e-06
105,3.8700938648351645e-06
106,3.86958659458623e-06
107,3.869079324337295e-06
108,3.86857205408836e-06
109,3.868064783839426e-06
110,3.867557513590491e-06
111,3.867050243341556e-06
112,3.8665429730926214e-06
113,3.866035702843686e-06
114,3.865528432594751e-06
115,3.865021162345817e-06
116,3.864513892096882e-06
117,3.864006621847947e-06
118,3.863499351599013e-06
119,3.8629920813500775e-06
120,3.8624848111011424e-06
121,3.861977540852208e-06
122,3.861470270603273e-06
123,3.860963000354338e-06
124,3.860455730105404e-06
125,3.859948459856469e-06
126,3.859441189607534e-06
127,3.858933919358599e-06
128,3.858426649109664e-06
129,3.857919378860729e-06
130,3.857412108611795e-06
131,3.85690483836286e-06
132,3.856397568113925e-06
133,3.8558902978649905e-06
134,3.8553830276160554e-06
135,3.85487575736712e-06
136,3.854368487118186e-06
137,3.853861216869251e-06
138,3.853353946620316e-06
139,3.852846676371381e-06
140,3.852339406122447e-06
141,3.8518321358735115e-06
142,3.8513248656245764e-06
143,3.850817595375642e-06
144,3.850310325126707e-06
145,3.849803054877772e-06
146,3.849295784628838e-06
147,3.848788514379903e-06
148,3.848281244130968e-06
149,3.847773973882033e-06
150,3.847266703633098e-06
151,3.846759433384163e-06
152,3.846252163135229e-06
153,3.845744892886294e-06
154,3.845237622637359e-06
155,3.8447303523884245e-06
156,3.8442230821394894e-06
157,3.843715811890554e-06
158,3.84320854164162e-06
159,3.842701271392685e-06
160,3.84219400114375e-06
161,3.841686730894816e-06
162,3.841179460645881e-06
163,3.8406721903969455e-06
164,3.840164920148011e-06
165,3.839657649899076e-06
166,3.839150379650141e-06
167,3.838643109401207e-06
168,3.838135839152272e-06
169,3.837628568903337e-06
170,3.8371212986544024e-06
171,3.836614028405467e-06
172,3.836106758156532e-06
173,3.835599487907598e-06
174,3.835092217658663e-06
175,3.834584947409728e-06
176,3.834077677160794e-06
177,3.8335704069118585e-06
178,3.8330631366629234e-06
179,3.832555866413989e-06
180,3.832048596165054e-06
181,3.831541325916119e-06
182,3.831034055667185e-06
183,3.83052678541825e-06
184,3.830019515169315e-06
185,3.82951224492038e-06
186,3.829004974671445e-06
187,3.82849770442251e-06
188,3.827990434173576e-06
189,3.827483163924641e-06
190,3.826975893675706e-06
191,3.8264686234267715e-06
192,3.8259613531778364e-06
