source,target
1,10000007361
10000007361,7361
1,100000027
100000027,27
2,20000002249
20000002249,2249
3,30000009732
30000009732,9732
3,30000008221
30000008221,8221
3,30000002031
30000002031,2031
4,40000009282
40000009282,9282
4,40000003287
40000003287,3287
5,50000003212
50000003212,3212
6,60000008
60000008,8
7,7000000515
7000000515,515
8,80000009666
80000009666,9666
8,80000007
80000007,7
9,900000010864
900000010864,10864
9,900000010543
900000010543,10543
10,100000007282
100000007282,7282
10,1000000014
1000000014,14
11,110000009
110000009,9
11,110000005946
110000005946,5946
11,1100000023
1100000023,23
12,120000006284
120000006284,6284
13,130000007801
130000007801,7801
13,130000002223
130000002223,2223
14,140000006
140000006,6
15,1500000016
1500000016,16
16,160000002082
160000002082,2082
17,170000002161
170000002161,2161
17,170000002154
170000002154,2154
18,180000005578
180000005578,5578
18,1800000069
1800000069,69
18,1800000010759
1800000010759,10759
19,190000001248
190000001248,1248
19,190000004475
190000004475,4475
20,200000001218
200000001218,1218
20,200000001206
200000001206,1206
21,2100000010460
2100000010460,10460
21,210000001180
210000001180,1180
21,210000001223
210000001223,1223
22,220000007377
220000007377,7377
22,2200000069
2200000069,69
22,2200000010759
2200000010759,10759
23,2300000011
2300000011,11
23,2300000010695
2300000010695,10695
25,2500000010688
2500000010688,10688
25,2500000026
2500000026,26
26,2600000010841
2600000010841,10841
26,2600000025
2600000025,25
27,2700000010922
2700000010922,10922
28,280000003506
280000003506,3506
29,290000005472
290000005472,5472
29,29000000795
29000000795,795
30,30000000299
30000000299,299
31,3100000032
3100000032,32
31,310000007008
310000007008,7008
32,32000000274
32000000274,274
32,3200000031
3200000031,31
33,330000009729
330000009729,9729
33,330000002948
330000002948,2948
34,34000000451
34000000451,451
34,340000002629
340000002629,2629
35,35000000450
35000000450,450
35,350000008606
350000008606,8606
36,360000009064
360000009064,9064
36,360000008993
360000008993,8993
36,360000001251
360000001251,1251
37,370000007638
370000007638,7638
37,370000003111
370000003111,3111
38,3800000083
3800000083,83
38,3800000076
3800000076,76
39,390000007586
390000007586,7586
40,40000000601
40000000601,601
41,410000005150
410000005150,5150
43,4300000055
4300000055,55
44,440000001879
440000001879,1879
44,44000000543
44000000543,543
45,450000002476
450000002476,2476
46,46000000310
46000000310,310
47,470000003200
470000003200,3200
48,480000002480
480000002480,2480
49,4900000043
4900000043,43
50,5000000052
5000000052,52
50,50000000102
50000000102,102
51,510000001714
510000001714,1714
51,510000002116
510000002116,2116
52,520000003937
520000003937,3937
52,520000007025
520000007025,7025
53,530000008879
530000008879,8879
53,530000001215
530000001215,1215
54,540000003249
540000003249,3249
55,550000003783
550000003783,3783
56,560000003888
560000003888,3888
57,57000000963
57000000963,963
58,580000009811
580000009811,9811
58,580000006062
580000006062,6062
58,580000004623
580000004623,4623
59,59000000595
59000000595,595
59,590000004155
590000004155,4155
60,600000001341
600000001341,1341
61,610000005095
610000005095,5095
63,630000002951
630000002951,2951
63,630000001863
630000001863,1863
64,640000005480
640000005480,5480
64,640000004357
640000004357,4357
64,640000004038
640000004038,4038
65,650000006444
650000006444,6444
65,65000000308
65000000308,308
67,6700000010683
6700000010683,10683
68,680000001849
680000001849,1849
69,690000007913
690000007913,7913
69,6900000018
6900000018,18
69,6900000022
6900000022,22
70,700000003130
700000003130,3130
71,71000000329
71000000329,329
71,710000009603
710000009603,9603
71,710000005727
710000005727,5727
72,72000000269
72000000269,269
73,730000002537
730000002537,2537
73,730000006313
730000006313,6313
74,740000007145
740000007145,7145
75,75000000344
75000000344,344
75,75000000338
75000000338,338
76,7600000010450
7600000010450,10450
76,7600000038
7600000038,38
77,77000000338
77000000338,338
77,770000009287
770000009287,9287
79,790000002019
790000002019,2019
79,790000005566
790000005566,5566
80,8000000082
8000000082,82
80,800000005868
800000005868,5868
81,81000000282
81000000282,282
82,8200000088
8200000088,88
82,8200000087
8200000087,87
83,830000001173
830000001173,1173
83,8300000038
8300000038,38
84,84000000728
84000000728,728
84,8400000010546
8400000010546,10546
85,85000000946
85000000946,946
86,8600000089
8600000089,89
86,860000003654
860000003654,3654
87,8700000010490
8700000010490,10490
88,88000000404
88000000404,404
89,8900000086
8900000086,86
89,890000004366
890000004366,4366
90,900000001633
900000001633,1633
90,900000006590
900000006590,6590
92,920000008917
920000008917,8917
92,920000005215
920000005215,5215
93,930000009198
930000009198,9198
94,940000005489
940000005489,5489
94,940000005531
940000005531,5531
94,940000009009
940000009009,9009
95,9500000096
9500000096,96
96,960000008256
960000008256,8256
97,970000003012
970000003012,3012
98,980000005689
980000005689,5689
98,980000006238
980000006238,6238
99,990000001200
990000001200,1200
99,990000006987
990000006987,6987
99,990000008959
990000008959,8959
100,1000000003898
1000000003898,3898
101,1010000009297
1010000009297,9297
102,10200000050
10200000050,50
102,1020000007594
1020000007594,7594
102,102000000130
102000000130,130
103,1030000001508
1030000001508,1508
104,1040000001845
1040000001845,1845
104,104000000150
104000000150,150
105,1050000008096
1050000008096,8096
105,1050000003354
1050000003354,3354
106,1060000006800
1060000006800,6800
106,1060000001966
1060000001966,1966
107,1070000005500
1070000005500,5500
108,1080000002742
1080000002742,2742
7869,78690000008815
78690000008815,8815
109,10900000010716
10900000010716,10716
109,1090000006261
1090000006261,6261
110,1100000009480
1100000009480,9480
110,1100000008929
1100000008929,8929
110,1100000002844
1100000002844,2844
111,1110000006835
1110000006835,6835
112,11200000010672
11200000010672,10672
113,1130000008770
1130000008770,8770
114,1140000009944
1140000009944,9944
114,114000000116
114000000116,116
115,1150000006924
1150000006924,6924
115,1150000005132
1150000005132,5132
116,1160000003920
1160000003920,3920
116,116000000114
116000000114,114
117,117000000506
117000000506,506
117,117000000118
117000000118,118
118,1180000005027
1180000005027,5027
118,118000000117
118000000117,117
119,1190000001892
1190000001892,1892
119,1190000004421
1190000004421,4421
119,1190000003590
1190000003590,3590
120,1200000001210
1200000001210,1210
120,1200000007356
1200000007356,7356
121,1210000005073
1210000005073,5073
122,12200000010584
12200000010584,10584
122,1220000002876
1220000002876,2876
123,123000000439
123000000439,439
123,123000000517
123000000517,517
123,12300000010767
12300000010767,10767
124,1240000001973
1240000001973,1973
125,1250000009612
1250000009612,9612
126,12600000030
12600000030,30
127,1270000001569
1270000001569,1569
127,1270000005733
1270000005733,5733
128,12800000010426
12800000010426,10426
129,1290000009173
1290000009173,9173
129,1290000001838
1290000001838,1838
130,1300000009883
1300000009883,9883
130,130000000629
130000000629,629
130,130000000102
130000000102,102
131,1310000001120
1310000001120,1120
131,1310000001309
1310000001309,1309
132,1320000006317
1320000006317,6317
133,1330000004553
1330000004553,4553
134,1340000006798
1340000006798,6798
135,1350000008849
1350000008849,8849
136,1360000005476
1360000005476,5476
136,136000000135
136000000135,135
137,1370000006369
1370000006369,6369
137,1370000005092
1370000005092,5092
139,1390000008361
1390000008361,8361
140,1400000004529
1400000004529,4529
140,1400000003921
1400000003921,3921
141,1410000007241
1410000007241,7241
141,141000000142
141000000142,142
142,142000000141
142000000141,141
142,1420000001934
1420000001934,1934
143,1430000005672
1430000005672,5672
143,1430000006555
1430000006555,6555
145,1450000004584
1450000004584,4584
145,145000000155
145000000155,155
145,1450000004566
1450000004566,4566
146,146000000147
146000000147,147
146,1460000009655
1460000009655,9655
147,147000000148
147000000148,148
148,148000000149
148000000149,149
148,1480000002519
1480000002519,2519
149,149000000146
149000000146,146
150,150000000104
150000000104,104
150,1500000005628
1500000005628,5628
152,1520000005559
1520000005559,5559
152,1520000009943
1520000009943,9943
153,153000000157
153000000157,157
153,153000000158
153000000158,158
154,15400000072
15400000072,72
155,1550000004566
1550000004566,4566
155,155000000167
155000000167,167
156,156000000153
156000000153,153
157,1570000001192
1570000001192,1192
157,1570000001214
1570000001214,1214
158,1580000003074
1580000003074,3074
160,1600000003904
1600000003904,3904
160,1600000003909
1600000003909,3909
162,16200000010899
16200000010899,10899
163,1630000001260
1630000001260,1260
163,16300000010207
16300000010207,10207
165,1650000005627
1650000005627,5627
166,1660000001192
1660000001192,1192
166,1660000001214
1660000001214,1214
167,167000000170
167000000170,170
167,167000000155
167000000155,155
168,16800000010877
16800000010877,10877
168,168000000278
168000000278,278
170,1700000006488
1700000006488,6488
170,170000000167
170000000167,167
172,1720000009082
1720000009082,9082
172,1720000001620
1720000001620,1620
172,1720000002222
1720000002222,2222
173,1730000005389
1730000005389,5389
173,1730000007295
1730000007295,7295
174,1740000002336
1740000002336,2336
174,174000000897
174000000897,897
175,1750000005636
1750000005636,5636
175,1750000004614
1750000004614,4614
176,1760000001539
1760000001539,1539
