node_id,length,speed
10007361,2489,2
100027,192,2
20002249,3773,4
30009732,707,4
30008221,4341,3
30002031,66,3
40009282,294,4
40003287,204,4
50003212,926,2
60008,75,2
7000515,181,2
80009666,304,2
80007,187,2
900010864,948,4
900010543,574,4
100007282,290,2
1000014,166,2
110009,2171,4
110005946,81,3
1100023,12250,3
120006284,1696,6
130007801,9264,4
130002223,3478,6
140006,66,2
1500016,259,4
160002082,80,4
170002161,1764,2
170002154,591,2
180005578,765,4
1800069,92,4
1800010759,152,4
190001248,3577,2
190004475,213,2
200001218,379,3
200001206,599,3
2100010460,1521,4
210001180,1365,4
210001223,91,3
220007377,7413,4
2200069,127,4
2200010759,164,4
2300011,12250,3
2300010695,378,3
2500010688,298,4
2500026,832,4
2600010841,478,4
2600025,832,4
2700010922,246,2
280003506,6380,4
290005472,233,4
29000795,1454,4
30000299,1074,4
3100032,147,3
310007008,452,3
32000274,56,3
3200031,147,3
330009729,378,2
330002948,196,2
34000451,765,4
340002629,362,4
35000450,1909,3
350008606,6808,4
360009064,339,2
360008993,3304,2
360001251,380,2
370007638,3992,6
370003111,2971,4
3800083,946,2
3800076,824,2
390007586,499,4
40000601,1399,4
410005150,801,4
4300055,1219,4
440001879,214,4
44000543,71,4
450002476,395,6
46000310,1044,4
470003200,393,6
480002480,5392,6
4900043,493,4
5000052,325,4
50000102,1277,4
510001714,410,4
510002116,511,4
520003937,122,2
520007025,90,4
530008879,18471,2
530001215,21524,4
540003249,1846,4
550003783,249,4
560003888,558,6
57000963,8354,6
580009811,339,2
580006062,6107,2
580004623,164,2
59000595,2289,4
590004155,955,2
600001341,893,6
610005095,383,2
630002951,1131,4
630001863,3517,4
640005480,1345,2
640004357,267,2
640004038,490,2
650006444,2327,3
65000308,1781,3
6700010683,7558,2
680001849,322,2
690007913,4592,4
6900018,92,4
6900022,127,4
700003130,408,3
71000329,4599,2
710009603,7413,2
710005727,9944,2
72000269,3613,4
730002537,205,3
730006313,8366,3
740007145,56712,3
75000344,331,2
75000338,114,4
7600010450,362,2
7600038,824,2
77000338,87,4
770009287,1144,4
790002019,383,2
790005566,11065,2
8000082,736,4
800005868,175,2
81000282,668,4
8200088,1970,4
8200087,4587,4
830001173,2252,2
8300038,946,2
84000728,201,2
8400010546,868,2
85000946,2231,4
8600089,616,4
860003654,4724,4
8700010490,180,6
88000404,8879,6
8900086,616,4
890004366,4747,4
900001633,641,3
900006590,984,3
920008917,1356,2
920005215,618,2
930009198,159,6
940005489,82,4
940005531,354,4
940009009,2076,4
9500096,733,4
960008256,483,2
970003012,2463,6
980005689,721,4
980006238,1004,4
990001200,12794,3
990006987,15398,3
990008959,8667,3
1000003898,1030,3
1010009297,2469,2
10200050,1277,4
1020007594,9067,4
102000130,1120,2
1030001508,112,4
1040001845,2620,3
104000150,3326,3
1050008096,373,3
1050003354,202,3
1060006800,1053,6
1060001966,3641,4
1070005500,449,6
1080002742,619,4
78690008815,263,4
10900010716,379,2
1090006261,5784,2
1100009480,82,4
1100008929,102,4
1100002844,6760,4
1110006835,648,3
11200010672,1454,3
1130008770,451,3
1140009944,9049,3
114000116,676,3
1150006924,931,3
1150005132,6840,3
1160003920,70,3
116000114,676,3
117000506,2926,2
117000118,266,2
1180005027,19006,2
118000117,266,2
1190001892,295,4
1190004421,9637,4
1190003590,396,2
1200001210,7134,2
1200007356,14349,2
1210005073,1557,4
12200010584,7367,3
1220002876,501,3
123000439,356,2
123000517,1135,4
12300010767,360,4
1240001973,1042,6
1250009612,254,4
12600030,5366,4
1270001569,359,4
1270005733,1689,3
12800010426,2279,3
1290009173,1506,4
1290001838,2033,4
1300009883,298,3
130000629,1247,3
130000102,1120,2
1310001120,100,3
1310001309,577,4
1320006317,359,6
1330004553,1949,4
1340006798,1078,4
1350008849,64,4
1360005476,946,4
136000135,201,3
1370006369,421,3
1370005092,2913,2
1390008361,12373,6
1400004529,218,3
1400003921,1529,3
1410007241,2739,2
141000142,336,2
142000141,336,2
1420001934,12530,2
1430005672,253,4
1430006555,2986,4
1450004584,116,4
145000155,4076,4
1450004566,376,4
146000147,86,2
1460009655,3679,2
147000148,86,2
148000149,154,2
1480002519,220,2
149000146,295,2
150000104,3326,3
1500005628,509,3
1520005559,176,4
1520009943,439,4
153000157,4410,4
153000158,147,3
15400072,681,4
1550004566,4008,4
155000167,4811,4
156000153,1396,4
1570001192,468,3
1570001214,461,4
1580003074,1089,3
1600003904,219,3
1600003909,1521,3
16200010899,2726,2
1630001260,1257,4
16300010207,2060,4
1650005627,5001,4
1660001192,516,4
1660001214,357,3
167000170,1178,4
167000155,4811,4
16800010877,18952,2
168000278,547,2
1700006488,8292,4
170000167,1178,4
1720009082,8878,3
1720001620,5646,3
1720002222,8225,3
1730005389,7544,2
1730007295,1932,2
1740002336,6610,3
174000897,427,3
1750005636,444,3
1750004614,1500,4
1760001539,1739,4
176000445,1746,4
176000247,4422,2
1770001784,170,3
1770005922,68,3
1770005668,481,3
179000180,186,2
179000181,213,3
1800009758,225,3
1810006433,2729,3
182000180,215,3
182000181,125,2
1830001425,287,4
1830002342,240,2
1840002056,1771,2
1840009411,557,2
1850009290,274,4
1850009293,390,4
1860001539,501,2
1870006968,1487,2
1870005054,909,2
188000185,273,4
1890001257,3521,4
1890006645,883,4
1900003657,203,3
190000195,2893,3
1910005738,97,3
1910005639,316,2
192000188,273,4
1930001758,389,4
1940007082,5171,2
194000197,1286,2
1950002787,333,3
195000190,2893,3
1960005951,1158,3
197000194,1286,2
197000198,505,2
1980009019,2919,2
198000197,505,2
199000207,11835,6
2000001814,441,2
2010009786,274,3
201000212,277,3
2020004472,1286,3
2020007906,73,2
2030002786,323,3
2030009786,242,3
2030005942,4771,3
204000222,4103,2
205000234,34,2
20500010803,247,2
205000261,632,2
20600010915,921,4
206000415,2626,4
2070002971,186,6
2070007159,186,4
20800012,1022,4
2090004353,57,3
2090002886,193,3
2100007951,5859,4
211000312,239,4
2110008899,880,4
212000201,277,3
2120001450,273,3
2120003209,129,3
2130007207,353,3
214000218,1061,2
214000215,231,2
2150007091,7803,2
215000214,231,2
2160004596,1123,4
2170001542,211,3
2170001559,449,3
2180007089,6386,4
218000214,1061,2
218000233,4391,4
2190003058,978,4
21900010482,5234,4
220000243,580,2
221000224,443,3
2210002050,558,3
2210001559,229,3
2220001539,397,4
2220007243,2884,4
222000204,4103,2
2230005641,623,4
2230005669,10265,4
224000221,443,3
2240001542,154,3
2250007975,5214,2
226000229,6095,6
2260009773,2205,4
2270007931,95,4
227000228,281,4
2280009954,314,4
2280007923,184,4
228000227,281,4
22900010120,3685,6
2300002069,8576,6
231000154,1463,4
23100054,3352,4
2320008641,640,3
2320005942,277,3
233000218,4391,4
2330009715,166,4
234000205,34,2
234000261,53,2
235000233,170,3
2350009715,124,3
2360001629,923,2
2360001390,1206,2
2370009717,187,3
2380007097,1935,4
2380009715,161,4
238000237,136,3
239000220,238,2
2390003758,4093,2
2400007964,7134,4
2410003724,1146,3
2420006320,197,4
2420009251,204,2
243000270,1470,2
243000239,115,2
24400010721,366,4
24400010723,396,4
2440003663,2731,3
245000107,6424,4
2450003316,3626,4
246000257,1494,2
2460005727,5521,2
247000176,4422,2
2480002347,42133,6
2490001136,1184,3
2490005731,1944,3
250000255,352,4
2500005415,7042,4
